name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,UHR_1,UHR_2,UHR_3,HBR_1,HBR_2,HBR_3
ENST00000262726.11,16.6,0.3,33,111.439,6.8,1.59,4.27,1.9e-05,5.5e-02,5e-04,0,0,0,0.9,34,28.3,36.6
ENST00000358295.9,62,6.8,117.2,17.139,4.1,0.97,4.24,2.3e-05,6.5e-02,5e-04,0,8.2,10.6,1.7,103.3,113.3,134.9
ENST00000248975.5,734.2,197.3,1271.1,6.443,2.7,0.64,4.23,2.3e-05,6.6e-02,5e-04,0,162.1,185.7,244.2,1191.3,1316.3,1305.8
ENST00000437781.5,21.4,42.5,0.4,0.01,-6.7,1.58,-4.22,2.4e-05,6.8e-02,5e-04,0,47.9,31.9,47.6,1.3,0,0
ENST00000248933.10,12.8,0,25.5,167.901,7.4,1.76,4.19,2.8e-05,7.9e-02,6e-04,0,0,0,0,35.3,24.1,17.2
ENST00000216241.13,17.4,0.3,34.5,116.532,6.9,1.64,4.18,2.9e-05,8.3e-02,6e-04,0,0,0,0.9,18.9,39.9,44.6
ENST00000337566.9,12.2,0,24.4,160.506,7.3,1.76,4.15,3.3e-05,9.3e-02,7e-04,0,0,0,0,18.9,19.9,34.3
ENST00000401994.5,11.8,0,23.5,154.903,7.3,1.76,4.13,3.7e-05,1.0e-01,8e-04,0,0,0,0,25.2,29.4,16
ENST00000443721.1,18.6,0.8,36.3,44.878,5.5,1.33,4.12,3.7e-05,1.1e-01,8e-04,0,0.7,0,1.7,37.8,47.2,24
ENST00000493076.5,32.9,61.3,4.5,0.074,-3.8,0.91,-4.12,3.7e-05,1.1e-01,8e-04,0,56.8,65.8,61.3,5,6.3,2.3
ENST00000361441.4,27.2,51.4,3,0.059,-4.1,0.99,-4.12,3.8e-05,1.1e-01,8e-04,0,56.8,45.4,51.9,1.3,3.1,4.6
ENST00000483549.5,14,0,27.9,183.896,7.5,1.84,4.09,4.4e-05,1.2e-01,9e-04,0,0,0,0,44.1,28.3,11.4
ENST00000539302.5,15.4,30.7,0,0.007,-7.2,1.77,-4.07,4.7e-05,1.3e-01,9e-04,0,16.4,35.8,40,0,0,0
ENST00000333467.3,13.1,26.2,0,0.008,-7,1.71,-4.06,5.0e-05,1.4e-01,0.001,0,26.7,29,23,0,0,0
ENST00000249071.10,39.2,70.7,7.6,0.108,-3.2,0.79,-4.04,5.3e-05,1.5e-01,0.001,0,71.8,69.6,70.6,8.8,8.4,5.7
ENST00000408983.2,9.8,0,19.7,129.395,7,1.77,3.97,7.1e-05,2.0e-01,0.0013,0,0,0,0,22.7,15.7,20.6
ENST00000400299.6,46.2,11,81.4,7.404,2.9,0.73,3.97,7.1e-05,2.0e-01,0.0013,0,13,9.7,10.2,85.6,79.7,78.9
ENST00000266263.9,14.5,29,0,0.007,-7.1,1.81,-3.93,8.4e-05,2.4e-01,0.0015,0,35.6,38.7,12.8,0,0,0
ENST00000402357.5,24.9,0.9,49,58.398,5.9,1.51,3.89,1.0e-04,2.8e-01,0.0018,0,0,0,2.6,57.9,51.4,37.7
ENST00000215909.9,281.1,473,89.2,0.188,-2.4,0.62,-3.88,1.0e-04,2.9e-01,0.0018,0,488.4,422.5,508,89.4,92.3,85.8
ENST00000395876.6,145,3,286.9,94.672,6.6,1.69,3.87,1.1e-04,3.0e-01,0.0019,0,8.9,0,0,304.7,286.3,269.8
ENST00000381348.4,12.5,0.3,24.6,83.015,6.4,1.65,3.86,1.1e-04,3.2e-01,0.002,0,0,1,0,34,15.7,24
ENST00000551952.5,11.1,22.3,0,0.009,-6.7,1.75,-3.85,1.2e-04,3.3e-01,0.002,0,27.4,17.4,22.1,0,0,0
ENST00000327451.10,41.7,3,80.4,27.385,4.8,1.25,3.81,1.4e-04,3.8e-01,0.0023,0,0,3.9,5.1,78.1,93.3,69.7
ENST00000255882.10,736.5,244.9,1228.1,5.015,2.3,0.61,3.81,1.4e-04,3.9e-01,0.0023,0,223.7,266.9,244.2,1373.9,1183.1,1127.4
ENST00000476405.1,21.5,3.8,39.3,10.462,3.4,0.9,3.78,1.5e-04,4.3e-01,0.0025,0,4.8,3.9,2.6,35.3,47.2,35.4
ENST00000366463.6,10.2,20.3,0,0.01,-6.6,1.75,-3.77,1.6e-04,4.6e-01,0.0026,0,19.8,23.2,17.9,0,0,0
ENST00000583777.5,10.6,21.2,0,0.01,-6.7,1.76,-3.77,1.6e-04,4.6e-01,0.0026,0,28,19.3,16.2,0,0,0
ENST00000331821.7,132.9,227.5,38.3,0.169,-2.6,0.68,-3.77,1.6e-04,4.6e-01,0.0026,0,212,226.3,244.2,40.3,46.1,28.6
ENST00000476901.1,9.7,19.5,0,0.011,-6.5,1.75,-3.73,1.9e-04,5.4e-01,0.003,0,19.2,21.3,17.9,0,0,0
ENST00000216122.8,64.7,113,16.5,0.146,-2.8,0.74,-3.72,2.0e-04,5.5e-01,0.003,0,117.7,119.9,101.3,11.3,21,17.2
ENST00000216101.6,9.1,0,18.1,119.513,6.9,1.86,3.71,2.1e-04,5.9e-01,0.0032,0,0,0,0,8.8,27.3,18.3
ENST00000405930.3,10.8,0,21.6,142.596,7.2,1.93,3.7,2.1e-04,6.0e-01,0.0032,0,0,0,0,17.6,7.3,40
ENST00000455843.5,21.2,1.8,40.7,22.309,4.5,1.21,3.69,2.2e-04,6.2e-01,0.0032,0,3.4,1.9,0,46.6,37.8,37.7
ENST00000215980.9,12.7,25,0.4,0.016,-5.9,1.6,-3.69,2.2e-04,6.2e-01,0.0032,0,26.7,26.1,22.1,0,0,1.1
ENST00000407997.3,9.5,18.9,0,0.011,-6.5,1.76,-3.68,2.3e-04,6.4e-01,0.0033,0,21.2,20.3,15.3,0,0,0
ENST00000612482.4,12.5,25,0,0.008,-6.9,1.88,-3.66,2.5e-04,7.1e-01,0.0036,0,24.6,8.7,41.7,0,0,0
ENST00000215743.7,9.5,19,0,0.011,-6.5,1.78,-3.65,2.6e-04,7.3e-01,0.0037,0,23.9,13.5,19.6,0,0,0
ENST00000447898.5,25.3,48.7,2,0.04,-4.7,1.28,-3.64,2.7e-04,7.7e-01,0.0038,0,55.4,47.4,43.4,1.3,0,4.6
ENST00000344138.8,14.1,27.3,0.8,0.028,-5.1,1.42,-3.62,2.9e-04,8.1e-01,0.004,0,25.3,25.1,31.5,1.3,0,1.1
ENST00000215727.9,52.7,100.8,4.7,0.047,-4.4,1.22,-3.62,2.9e-04,8.2e-01,0.004,0,94.4,102.5,105.5,0,9.4,4.6
ENST00000609630.1,24.6,3.6,45.5,12.38,3.6,1,3.61,3.0e-04,8.5e-01,0.0041,0,4.8,1,5.1,52.9,49.3,34.3
ENST00000483718.5,18.3,3.2,33.3,10.377,3.4,0.94,3.6,3.2e-04,8.9e-01,0.0042,0,4.1,2.9,2.6,34,42,24
ENST00000488038.5,35.5,7.2,63.9,8.835,3.1,0.87,3.6,3.2e-04,9.0e-01,0.0042,0,11.6,3.9,6,57.9,61.9,72
ENST00000403586.5,12.1,1.4,22.8,16.275,4,1.12,3.58,3.4e-04,9.6e-01,0.0045,0,0.7,1.9,1.7,23.9,26.2,18.3
ENST00000397477.2,26.8,6.1,47.5,7.773,3,0.83,3.55,3.9e-04,1.0e+00,0.005,0,4.1,5.8,8.5,50.4,44.1,48
ENST00000413768.5,19,36.6,1.4,0.04,-4.6,1.31,-3.54,4.0e-04,1.0e+00,0.0051,1,35.6,51.2,23,0,3.1,1.1
ENST00000440005.6,12.3,0.9,23.7,27.235,4.8,1.35,3.53,4.1e-04,1.0e+00,0.0052,1,0,1.9,0.9,22.7,22,26.3
ENST00000498133.5,11.1,22.2,0,0.01,-6.7,1.9,-3.53,4.2e-04,1.0e+00,0.0053,1,7.5,37.7,21.3,0,0,0
ENST00000215912.9,61.2,19,103.5,5.463,2.4,0.7,3.5,4.6e-04,1.0e+00,0.0057,1,16.4,18.4,22.1,91.9,98.6,120.1
ENST00000529632.6,121.1,7.9,234.3,29.571,4.9,1.41,3.47,5.2e-04,1.0e+00,0.0063,1,10.3,13.5,0,99.5,281.1,322.4
ENST00000216127.4,42.2,12,72.4,6.047,2.6,0.75,3.47,5.2e-04,1.0e+00,0.0063,1,8.9,13.5,13.6,68,83.9,65.2
ENST00000407319.6,8,15.9,0,0.013,-6.2,1.8,-3.46,5.3e-04,1.0e+00,0.0064,1,19.2,11.6,17,0,0,0
ENST00000216144.3,15.6,2.2,29,13.197,3.7,1.08,3.45,5.5e-04,1.0e+00,0.0066,1,1.4,1,4.3,26.4,27.3,33.2
ENST00000489206.1,16.1,2.9,29.4,10.03,3.3,0.97,3.42,6.2e-04,1.0e+00,0.0073,1,4.1,2.9,1.7,22.7,34.6,30.9
ENST00000420536.1,8.4,16.7,0,0.013,-6.3,1.85,-3.42,6.3e-04,1.0e+00,0.0073,1,15,9.7,25.5,0,0,0
ENST00000215906.5,50.6,14.1,87.2,6.171,2.6,0.78,3.38,7.3e-04,1.0e+00,0.0084,1,13,10.6,18.7,70.5,75.5,115.5
ENST00000337843.6,19.1,37.1,1.1,0.031,-5,1.51,-3.33,8.6e-04,1.0e+00,0.0098,1,43.1,36.7,31.5,0,0,3.4
ENST00000348295.7,9.5,18.9,0,0.011,-6.5,1.95,-3.33,8.6e-04,1.0e+00,0.0098,1,24.6,27.1,5.1,0,0,0
ENST00000469719.5,6,0,11.9,78.624,6.3,1.9,3.32,8.9e-04,1.0e+00,0.01,1,0,0,0,7.6,16.8,11.4
ENST00000215904.6,60,17.9,102.2,5.695,2.5,0.76,3.32,8.9e-04,1.0e+00,0.01,1,22.6,10.6,20.4,104.5,104.9,97.2
ENST00000608286.1,22.3,42.1,2.4,0.056,-4.2,1.26,-3.31,9.3e-04,1.0e+00,0.0103,1,58.1,30.9,37.4,5,2.1,0
ENST00000473624.1,7.3,14.6,0,0.014,-6.1,1.85,-3.3,9.8e-04,1.0e+00,0.0107,1,8.9,21.3,13.6,0,0,0
ENST00000467105.1,15.7,28.8,2.6,0.092,-3.4,1.05,-3.3,9.8e-04,1.0e+00,0.0107,1,30.1,30,26.4,2.5,4.2,1.1
ENST00000402458.1,7.1,14.2,0,0.015,-6.1,1.86,-3.26,1.1e-03,1.0e+00,0.012,1,21.9,9.7,11.1,0,0,0
ENST00000616213.4,41.2,0,82.4,542.76,9.1,2.79,3.26,1.1e-03,1.0e+00,0.0121,1,0,0,0,90.7,0,156.6
ENST00000248923.8,7.7,15.4,0,0.014,-6.2,1.9,-3.25,1.1e-03,1.0e+00,0.0121,1,12.3,26.1,7.7,0,0,0
ENST00000395738.2,11.6,21.7,1.5,0.071,-3.8,1.17,-3.25,1.1e-03,1.0e+00,0.0121,1,18.5,20.3,26.4,2.5,1,1.1
ENST00000397771.6,7.6,15.2,0,0.014,-6.2,1.91,-3.23,1.2e-03,1.0e+00,0.0127,2,6.8,25.1,13.6,0,0,0
ENST00000395842.2,32.5,1.7,63.4,37.459,5.2,1.62,3.23,1.2e-03,1.0e+00,0.0127,2,0,0,5.1,59.2,56.6,74.3
ENST00000407418.7,553.6,231.3,875.9,3.787,1.9,0.6,3.22,1.3e-03,1.0e+00,0.0132,2,232.6,220.5,240.8,862.6,865.3,899.9
ENST00000413119.2,5.6,0,11.2,73.88,6.2,1.95,3.18,1.5e-03,1.0e+00,0.0151,2,0,0,0,10.1,17.8,5.7
ENST00000417327.5,27.7,7.9,47.5,6.029,2.6,0.82,3.16,1.6e-03,1.0e+00,0.0159,2,8.9,9.7,5.1,50.4,54.5,37.7
ENST00000478893.5,18.3,2.2,34.5,15.373,3.9,1.25,3.15,1.6e-03,1.0e+00,0.0162,2,4.8,0,1.7,30.2,37.8,35.4
ENST00000402126.1,4.8,0,9.7,63.759,6,1.92,3.12,1.8e-03,1.0e+00,0.0178,2,0,0,0,12.6,7.3,9.1
ENST00000428584.5,4.9,0,9.8,64.508,6,1.93,3.11,1.9e-03,1.0e+00,0.0184,2,0,0,0,6.3,10.5,12.6
ENST00000317361.11,28.1,3,53.2,18.257,4.2,1.37,3.06,2.2e-03,1.0e+00,0.0217,3,0,2.9,6,30.2,88.1,41.2
ENST00000337554.7,38.4,63.7,13.1,0.205,-2.3,0.75,-3.04,2.4e-03,1.0e+00,0.0228,3,60.2,57,74,13.9,10.5,14.9
ENST00000484021.5,25,7.2,42.8,5.908,2.6,0.85,3.01,2.6e-03,1.0e+00,0.0251,3,7.5,3.9,10.2,44.1,43,41.2
ENST00000339468.7,47,14.8,79.1,5.303,2.4,0.8,3.01,2.6e-03,1.0e+00,0.0252,3,20.5,8.7,15.3,64.2,96.5,76.6
ENST00000330423.7,17.5,1.1,33.8,28.001,4.8,1.6,3,2.7e-03,1.0e+00,0.0257,3,3.4,0,0,51.6,31.5,18.3
ENST00000618481.4,22.7,0,45.4,298.757,8.2,2.75,2.99,2.7e-03,1.0e+00,0.0258,3,0,0,0,75.6,0,60.6
ENST00000621082.1,12.5,0.9,24.2,28.807,4.8,1.64,2.96,3.1e-03,1.0e+00,0.0286,4,0,0,2.6,34,27.3,11.4
ENST00000399163.6,25.5,3.4,47.6,13.822,3.8,1.29,2.94,3.3e-03,1.0e+00,0.0302,4,3.4,0,6.8,47.9,27.3,67.5
ENST00000402580.7,29.5,59.1,0,0.004,-8.1,2.78,-2.92,3.5e-03,1.0e+00,0.0323,4,78.7,98.6,0,0,0,0
