name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,UHR_1,UHR_2,UHR_3,HBR_1,HBR_2,HBR_3
ENST00000437871.1,1.4,1,1.8,1.899,0.9,2.85,0.32,7.5e-01,1.0e+00,NA,NA,0,2.9,0,0,4.2,1.1
ENST00000498611.5,35.4,32,38.7,1.205,0.3,0.83,0.32,7.5e-01,1.0e+00,0.9132,1976,44.5,19.3,32.3,54.1,34.6,27.4
ENST00000216106.5,43.5,47.4,39.7,0.839,-0.3,0.78,-0.32,7.5e-01,1.0e+00,0.9133,1977,37.6,69.6,34.9,35.3,33.6,50.3
ENST00000610278.1,1.2,0.9,1.4,1.688,0.8,2.36,0.32,7.5e-01,1.0e+00,NA,NA,0.7,1.9,0,0,3.1,1.1
ENST00000384012.1,0.3,0.5,0,0.409,-1.3,4.05,-0.32,7.5e-01,1.0e+00,NA,NA,0.7,0,0.9,0,0,0
ENST00000446578.1,0.3,0.5,0,0.409,-1.3,4.05,-0.32,7.5e-01,1.0e+00,NA,NA,0.7,0,0.9,0,0,0
ENST00000458450.1,0.3,0.5,0,0.409,-1.3,4.05,-0.32,7.5e-01,1.0e+00,NA,NA,0.7,0,0.9,0,0,0
ENST00000466943.1,0.3,0.5,0,0.409,-1.3,4.05,-0.32,7.5e-01,1.0e+00,NA,NA,0.7,0,0.9,0,0,0
ENST00000484509.1,0.3,0.5,0,0.409,-1.3,4.05,-0.32,7.5e-01,1.0e+00,NA,NA,0.7,0,0.9,0,0,0
ENST00000488827.3,0.3,0.5,0,0.409,-1.3,4.05,-0.32,7.5e-01,1.0e+00,NA,NA,0.7,0,0.9,0,0,0
ENST00000460003.4,1.8,1.1,2.4,2.171,1.1,3.52,0.32,7.5e-01,1.0e+00,NA,NA,0,0,3.4,0,7.3,0
ENST00000456048.5,12.4,15.3,9.5,0.617,-0.7,2.19,-0.32,7.5e-01,1.0e+00,0.914,1987,38.3,0,7.7,23.9,0,4.6
ENST00000398145.6,36.9,40.6,33.2,0.818,-0.3,0.91,-0.32,7.5e-01,1.0e+00,0.914,1988,54.7,28,39.1,22.7,58.7,18.3
ENST00000417194.5,19.2,21.4,17,0.794,-0.3,1.05,-0.32,7.5e-01,1.0e+00,0.914,1989,25.3,33.8,5.1,18.9,11.5,20.6
ENST00000476579.1,3.8,2.9,4.6,1.58,0.7,2.09,0.32,7.5e-01,1.0e+00,0.914,1990,6.8,1.9,0,0,10.5,3.4
ENST00000438146.6,18.3,16.6,19.9,1.205,0.3,0.85,0.32,7.5e-01,1.0e+00,0.914,1991,17.8,18.4,13.6,20.1,28.3,11.4
ENST00000495977.1,6.1,7.1,5.1,0.721,-0.5,1.51,-0.31,7.5e-01,1.0e+00,0.914,1992,5.5,9.7,6,3.8,0,11.4
ENST00000563715.1,0.8,0.6,1.1,1.933,1,3.03,0.31,7.5e-01,1.0e+00,NA,NA,0,0,1.7,0,2.1,1.1
ENST00000476678.1,7.8,8.6,6.9,0.805,-0.3,1,-0.31,7.5e-01,1.0e+00,0.914,1993,8.2,12.6,5.1,7.6,5.2,8
ENST00000491588.1,27.5,25.3,29.8,1.181,0.2,0.77,0.31,7.5e-01,1.0e+00,0.914,1994,22.6,25.1,28.1,20.1,31.5,37.7
ENST00000460605.1,2,1.5,2.4,1.622,0.7,2.23,0.31,7.5e-01,1.0e+00,NA,NA,0.7,3.9,0,5,0,2.3
ENST00000397523.5,4.9,3.2,6.6,2.073,1.1,3.37,0.31,7.5e-01,1.0e+00,0.914,1996,9.6,0,0,0,19.9,0
ENST00000471259.1,7.1,8,6.2,0.771,-0.4,1.2,-0.31,7.5e-01,1.0e+00,0.914,1997,7.5,2.9,13.6,10.1,6.3,2.3
ENST00000612341.4,1.8,1.1,2.4,2.126,1.1,3.5,0.31,7.6e-01,1.0e+00,NA,NA,3.4,0,0,0,7.3,0
ENST00000266086.5,4.3,4.9,3.7,0.775,-0.4,1.18,-0.31,7.6e-01,1.0e+00,0.9143,2000,6.2,5.8,2.6,2.5,5.2,3.4
ENST00000438948.1,0.5,0.3,0.7,2.393,1.3,4.05,0.31,7.6e-01,1.0e+00,NA,NA,0,1,0,0,2.1,0
ENST00000460167.1,0.5,0.2,0.7,2.393,1.3,4.05,0.31,7.6e-01,1.0e+00,NA,NA,0.7,0,0,0,2.1,0
ENST00000609596.1,11.9,10.8,13.1,1.216,0.3,0.92,0.31,7.6e-01,1.0e+00,0.9171,2008,10.9,15.5,6,15.1,10.5,13.7
ENST00000608275.1,1.6,1.4,1.9,1.398,0.5,1.57,0.31,7.6e-01,1.0e+00,NA,NA,1.4,1,1.7,1.3,2.1,2.3
ENST00000451451.1,1,0.6,1.4,2.229,1.2,3.78,0.31,7.6e-01,1.0e+00,NA,NA,0,1.9,0,0,4.2,0
ENST00000489186.1,0.9,0.6,1.2,1.893,0.9,3.02,0.31,7.6e-01,1.0e+00,NA,NA,0,1.9,0,2.5,1,0
ENST00000424508.5,0.7,1,0.4,0.431,-1.2,3.98,-0.31,7.6e-01,1.0e+00,NA,NA,0,2.9,0,1.3,0,0
ENST00000326010.9,0.7,1,0.4,0.431,-1.2,3.98,-0.31,7.6e-01,1.0e+00,NA,NA,0,2.9,0,0,0,1.1
ENST00000263121.11,47.5,43.2,51.8,1.198,0.3,0.86,0.3,7.6e-01,1.0e+00,0.9187,2018,54,57,18.7,44.1,45.1,66.3
ENST00000491910.5,4.3,5.2,3.3,0.647,-0.6,2.07,-0.3,7.6e-01,1.0e+00,0.9188,2019,2.7,0,12.8,0,3.1,6.9
ENST00000489500.1,1.7,1.3,2,1.476,0.6,1.86,0.3,7.6e-01,1.0e+00,NA,NA,2.1,1.9,0,3.8,1,1.1
ENST00000326341.8,1.9,2.3,1.5,0.646,-0.6,2.09,-0.3,7.6e-01,1.0e+00,NA,NA,3.4,1.9,1.7,0,0,4.6
ENST00000405309.7,17.8,20.5,15.1,0.735,-0.4,1.47,-0.3,7.6e-01,1.0e+00,0.9199,2024,24.6,16.4,20.4,20.1,0,25.2
ENST00000476871.5,0.6,0.8,0.4,0.514,-1,3.2,-0.3,7.6e-01,1.0e+00,NA,NA,0.7,0,1.7,1.3,0,0
ENST00000453344.6,7.4,10,4.9,0.492,-1,3.42,-0.3,7.6e-01,1.0e+00,0.9204,2027,0,30,0,0,14.7,0
ENST00000485802.1,1.5,1.8,1.2,0.663,-0.6,1.98,-0.3,7.6e-01,1.0e+00,NA,NA,0.7,3.9,0.9,2.5,1,0
ENST00000355630.7,42.1,48.9,35.3,0.72,-0.5,1.59,-0.3,7.7e-01,1.0e+00,0.9205,2029,71.8,51.2,23.8,61.7,44.1,0
ENST00000450776.1,0.6,0.8,0.4,0.514,-1,3.22,-0.3,7.7e-01,1.0e+00,NA,NA,0.7,0,1.7,0,0,1.1
ENST00000490103.5,42.2,38.8,45.5,1.173,0.2,0.78,0.3,7.7e-01,1.0e+00,0.9209,2032,41,32.9,42.5,51.6,58.7,26.3
ENST00000491172.3,0.7,0.9,0.4,0.444,-1.2,3.99,-0.29,7.7e-01,1.0e+00,NA,NA,2.7,0,0,1.3,0,0
ENST00000623075.1,22.2,23.9,20.5,0.857,-0.2,0.76,-0.29,7.7e-01,1.0e+00,0.9231,2038,22.6,20.3,28.9,20.1,23.1,18.3
ENST00000361452.8,108.1,99.5,116.8,1.173,0.2,0.79,0.29,7.7e-01,1.0e+00,0.9231,2039,103.3,59.9,135.3,100.7,85,164.6
ENST00000423262.5,21.9,27.9,16,0.57,-0.8,2.78,-0.29,7.7e-01,1.0e+00,0.9231,2040,28.7,55.1,0,47.9,0,0
ENST00000472378.1,0.6,0.8,0.4,0.525,-0.9,3.2,-0.29,7.7e-01,1.0e+00,NA,NA,1.4,1,0,1.3,0,0
ENST00000623652.1,8,8.8,7.2,0.824,-0.3,0.97,-0.29,7.7e-01,1.0e+00,0.9231,2042,8.9,11.6,6,6.3,6.3,9.1
ENST00000491604.5,11.4,9.7,13.1,1.356,0.4,1.52,0.29,7.7e-01,1.0e+00,0.9231,2043,6.2,12.6,10.2,16.4,0,22.9
ENST00000479679.5,3.6,4.3,2.9,0.671,-0.6,2.01,-0.29,7.7e-01,1.0e+00,0.9248,2047,4.1,2.9,6,8.8,0,0
ENST00000442232.1,0.6,0.8,0.3,0.525,-0.9,3.25,-0.29,7.7e-01,1.0e+00,NA,NA,1.4,1,0,0,1,0
ENST00000469660.1,1.2,1.6,0.8,0.478,-1.1,3.73,-0.29,7.7e-01,1.0e+00,NA,NA,0,4.8,0,0,0,2.3
ENST00000329743.3,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000390304.2,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000397305.3,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000404241.6,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000405659.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000407673.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000420804.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000422336.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000426531.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000427227.2,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000428572.1,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000436341.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000440255.1,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000451058.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000452519.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000452800.1,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000456726.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000467926.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000476152.2,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000476893.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000495987.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000591411.5,0.2,0.5,0,0.447,-1.2,4.06,-0.29,7.8e-01,1.0e+00,NA,NA,1.4,0,0,0,0,0
ENST00000422086.5,7,7.7,6.2,0.812,-0.3,1.06,-0.28,7.8e-01,1.0e+00,0.9248,2071,4.8,10.6,7.7,7.6,3.1,8
ENST00000427494.6,1.7,2.3,1.1,0.498,-1,3.54,-0.28,7.8e-01,1.0e+00,NA,NA,6.8,0,0,0,0,3.4
ENST00000439997.5,1.7,2.3,1.1,0.498,-1,3.54,-0.28,7.8e-01,1.0e+00,NA,NA,6.8,0,0,0,0,3.4
ENST00000442379.1,3.7,3.1,4.2,1.354,0.4,1.54,0.28,7.8e-01,1.0e+00,0.9248,2073,5.5,3.9,0,5,3.1,4.6
ENST00000476940.1,2.1,2.6,1.5,0.581,-0.8,2.77,-0.28,7.8e-01,1.0e+00,NA,NA,6.8,1,0,0,0,4.6
ENST00000623756.1,5.1,4.2,5.9,1.408,0.5,1.76,0.28,7.8e-01,1.0e+00,0.9248,2075,2.1,10.6,0,7.6,1,9.1
ENST00000483102.5,1.3,1.7,0.8,0.488,-1,3.69,-0.28,7.8e-01,1.0e+00,NA,NA,0,0,5.1,2.5,0,0
ENST00000332468.5,11.5,10.6,12.5,1.181,0.2,0.86,0.28,7.8e-01,1.0e+00,0.9248,2077,10.3,8.7,12.8,11.3,14.7,11.4
ENST00000475446.5,1.5,1.9,1.1,0.571,-0.8,2.89,-0.28,7.8e-01,1.0e+00,NA,NA,0,5.8,0,0,2.1,1.1
ENST00000413293.1,21.3,22.9,19.7,0.859,-0.2,0.78,-0.28,7.8e-01,1.0e+00,0.9248,2079,21.9,22.2,24.7,20.1,25.2,13.7
ENST00000489453.1,3.4,3,3.8,1.313,0.4,1.41,0.28,7.8e-01,1.0e+00,0.9248,2080,1.4,6.8,0.9,5,3.1,3.4
ENST00000452794.5,3.3,3.8,2.8,0.738,-0.4,1.58,-0.28,7.8e-01,1.0e+00,0.9248,2081,4.8,4.8,1.7,5,0,3.4
ENST00000431090.1,4.8,5.4,4.2,0.791,-0.3,1.22,-0.28,7.8e-01,1.0e+00,0.9248,2082,4.1,7.7,4.3,6.3,5.2,1.1
ENST00000417586.1,1.1,1.4,0.8,0.56,-0.8,3.01,-0.28,7.8e-01,1.0e+00,NA,NA,0,0,4.3,1.3,0,1.1
ENST00000216185.6,16.1,18.6,13.5,0.725,-0.5,1.68,-0.28,7.8e-01,1.0e+00,0.9248,2084,47.2,8.7,0,7.6,13.6,19.4
ENST00000451256.6,12.8,10.3,15.3,1.482,0.6,2.06,0.28,7.8e-01,1.0e+00,0.9248,2084,13,0,17.9,26.4,0,19.4
ENST00000216124.9,6.1,8,4.2,0.523,-0.9,3.39,-0.28,7.8e-01,1.0e+00,0.9248,2085,23.9,0,0,12.6,0,0
ENST00000443935.5,1.7,1.4,1.9,1.353,0.4,1.59,0.27,7.8e-01,1.0e+00,NA,NA,0.7,1.9,1.7,2.5,2.1,1.1
ENST00000565764.1,2.3,2.8,1.9,0.673,-0.6,2.08,-0.27,7.8e-01,1.0e+00,NA,NA,5.5,2.9,0,2.5,3.1,0
ENST00000489322.5,5,3.8,6.3,1.664,0.7,2.69,0.27,7.8e-01,1.0e+00,0.9248,2088,0,2.9,8.5,0,18.9,0
ENST00000249014.4,85.4,90.9,80,0.88,-0.2,0.67,-0.27,7.8e-01,1.0e+00,0.9248,2089,97.1,72.5,103,78.1,93.3,68.6
ENST00000400561.6,9.9,6.8,13,1.919,0.9,3.45,0.27,7.9e-01,1.0e+00,0.9248,2090,0,20.3,0,0,0,38.9
ENST00000489651.5,28.8,30.9,26.7,0.864,-0.2,0.77,-0.27,7.9e-01,1.0e+00,0.9248,2091,32.8,23.2,36.6,22.7,22,35.4
ENST00000341976.4,49,52.3,45.6,0.872,-0.2,0.73,-0.27,7.9e-01,1.0e+00,0.9248,2092,61.6,58,37.4,37.8,55.6,43.4
ENST00000428201.1,0.8,0.6,1,1.79,0.8,3.09,0.27,7.9e-01,1.0e+00,NA,NA,0,1,0.9,0,3.1,0
ENST00000407253.7,1.4,1.8,1,0.6,-0.7,2.71,-0.27,7.9e-01,1.0e+00,NA,NA,2.7,0,2.6,0,3.1,0
ENST00000510957.1,0.6,0.8,0.4,0.547,-0.9,3.21,-0.27,7.9e-01,1.0e+00,NA,NA,1.4,0,0.9,1.3,0,0
ENST00000460658.5,9.8,10.7,8.9,0.838,-0.3,0.95,-0.27,7.9e-01,1.0e+00,0.9254,2097,13,9.7,9.4,5,12.6,9.1
ENST00000463672.1,0.6,0.8,0.4,0.547,-0.9,3.24,-0.27,7.9e-01,1.0e+00,NA,NA,1.4,0,0.9,0,0,1.1
ENST00000491612.1,15.9,14.6,17.1,1.165,0.2,0.82,0.27,7.9e-01,1.0e+00,0.9254,2099,17.1,10.6,16.2,17.6,19.9,13.7
ENST00000465618.5,3.3,2.8,3.9,1.37,0.5,1.7,0.27,7.9e-01,1.0e+00,0.9254,2100,4.8,1.9,1.7,2.5,0,9.1
ENST00000442475.5,2.3,1.6,3,1.89,0.9,3.44,0.27,7.9e-01,1.0e+00,NA,NA,4.8,0,0,0,0,9.1
ENST00000431155.1,0.5,0.8,0.3,0.547,-0.9,3.26,-0.27,7.9e-01,1.0e+00,NA,NA,1.4,0,0.9,0,1,0
ENST00000483713.5,5.5,6.5,4.4,0.683,-0.6,2.07,-0.27,7.9e-01,1.0e+00,0.9254,2102,3.4,0,16.2,0,4.2,9.1
ENST00000358654.2,21.6,16.2,27.1,1.677,0.7,2.8,0.27,7.9e-01,1.0e+00,0.9254,2103,0,0,48.5,39,0,42.3
ENST00000431923.1,0.9,0.6,1.1,1.747,0.8,3.03,0.27,7.9e-01,1.0e+00,NA,NA,0,1.9,0,0,2.1,1.1
ENST00000491958.5,0.9,0.6,1.1,1.747,0.8,3.03,0.27,7.9e-01,1.0e+00,NA,NA,0,1.9,0,0,2.1,1.1
ENST00000330817.10,49.8,46.6,53.1,1.139,0.2,0.71,0.27,7.9e-01,1.0e+00,0.9254,2106,53.4,38.7,47.6,41.6,52.4,65.2
ENST00000463472.1,1.1,1.4,0.7,0.5,-1,3.77,-0.27,7.9e-01,1.0e+00,NA,NA,0,0,4.3,0,2.1,0
ENST00000475605.1,1.1,1.4,0.7,0.5,-1,3.77,-0.27,7.9e-01,1.0e+00,NA,NA,0,0,4.3,0,2.1,0
ENST00000493698.1,1,1.3,0.7,0.579,-0.8,2.98,-0.26,7.9e-01,1.0e+00,NA,NA,0,2.9,0.9,0,2.1,0
ENST00000216044.9,161.4,171,151.8,0.887,-0.2,0.65,-0.26,7.9e-01,1.0e+00,0.9256,2110,192.9,137.3,182.9,157.4,171,126.9
ENST00000443063.1,1.4,1.2,1.5,1.372,0.5,1.73,0.26,7.9e-01,1.0e+00,NA,NA,0.7,1.9,0.9,2.5,1,1.1
ENST00000466666.5,1.3,1.6,1,0.666,-0.6,2.23,-0.26,7.9e-01,1.0e+00,NA,NA,2.1,1.9,0.9,0,3.1,0
ENST00000467617.1,8.7,8,9.4,1.184,0.2,0.93,0.26,7.9e-01,1.0e+00,0.9259,2114,9.6,5.8,8.5,8.8,11.5,8
ENST00000618859.1,0.6,0.9,0.3,0.484,-1,3.99,-0.26,7.9e-01,1.0e+00,NA,NA,0,0,2.6,0,1,0
ENST00000342474.4,0.6,0.9,0.4,0.484,-1,3.99,-0.26,7.9e-01,1.0e+00,NA,NA,0,0,2.6,0,0,1.1
ENST00000623239.1,0.6,0.9,0.4,0.484,-1,3.99,-0.26,7.9e-01,1.0e+00,NA,NA,0,0,2.6,0,0,1.1
ENST00000463319.1,1.3,1,1.6,1.692,0.8,2.89,0.26,7.9e-01,1.0e+00,NA,NA,0,2.9,0,3.8,1,0
ENST00000335272.9,61.5,70.4,52.7,0.749,-0.4,1.59,-0.26,7.9e-01,1.0e+00,0.9259,2118,65.7,77.4,68.1,80.6,77.6,0
ENST00000400525.5,16.9,20.1,13.8,0.688,-0.5,2.08,-0.26,7.9e-01,1.0e+00,0.9259,2119,25.3,0,34.9,0,23.1,18.3
ENST00000462927.5,4.6,3.5,5.7,1.61,0.7,2.64,0.26,7.9e-01,1.0e+00,0.9259,2120,0,10.6,0,7.6,9.4,0
ENST00000469722.2,1.4,1.1,1.6,1.427,0.5,1.98,0.26,7.9e-01,1.0e+00,NA,NA,0.7,1,1.7,3.8,1,0
ENST00000465418.1,1.3,1,1.5,1.502,0.6,2.27,0.26,8.0e-01,1.0e+00,NA,NA,2.1,1,0,2.5,2.1,0
ENST00000498406.1,14.5,16,13.1,0.815,-0.3,1.14,-0.26,8.0e-01,1.0e+00,0.9266,2125,13.7,9.7,24.7,20.1,16.8,2.3
ENST00000617243.4,13.3,15.1,11.6,0.769,-0.4,1.48,-0.26,8.0e-01,1.0e+00,0.9266,2126,15,17.4,12.8,0,8.4,26.3
ENST00000422525.1,1.3,0.9,1.7,1.896,0.9,3.61,0.26,8.0e-01,1.0e+00,NA,NA,2.7,0,0,0,5.2,0
ENST00000494966.1,1,1.2,0.8,0.69,-0.5,2.12,-0.25,8.0e-01,1.0e+00,NA,NA,0.7,1.9,0.9,1.3,0,1.1
ENST00000566220.1,3.4,3.8,3.1,0.793,-0.3,1.32,-0.25,8.0e-01,1.0e+00,0.9279,2131,6.8,2.9,1.7,2.5,2.1,4.6
ENST00000407381.7,11.7,13.8,9.5,0.689,-0.5,2.13,-0.25,8.0e-01,1.0e+00,0.9279,2132,0,12.6,28.9,7.6,21,0
ENST00000331457.8,111,117,105,0.897,-0.2,0.62,-0.25,8.0e-01,1.0e+00,0.9279,2133,116.3,113.1,121.7,99.5,108,107.5
ENST00000449424.5,6,5.2,6.7,1.308,0.4,1.55,0.25,8.0e-01,1.0e+00,0.9279,2134,0,9.7,6,5,9.4,5.7
ENST00000494730.2,6.4,5.7,7.1,1.236,0.3,1.22,0.25,8.0e-01,1.0e+00,0.9279,2135,9.6,5.8,1.7,12.6,4.2,4.6
ENST00000496385.5,13.1,10.8,15.4,1.423,0.5,2.04,0.25,8.0e-01,1.0e+00,0.9279,2136,13.7,0,18.7,0,21,25.2
ENST00000484373.5,7.2,6.5,7.8,1.203,0.3,1.07,0.25,8.0e-01,1.0e+00,0.9279,2137,7.5,8.7,3.4,3.8,9.4,10.3
ENST00000466278.1,1.5,1.8,1.1,0.626,-0.7,2.72,-0.25,8.0e-01,1.0e+00,NA,NA,2.1,0,3.4,0,0,3.4
ENST00000482969.5,9.6,8.3,10.8,1.296,0.4,1.51,0.25,8.0e-01,1.0e+00,0.9281,2139,14.4,10.6,0,6.3,14.7,11.4
ENST00000470741.1,13.5,12.5,14.6,1.157,0.2,0.86,0.24,8.1e-01,1.0e+00,0.9308,2147,17.8,8.7,11.1,16.4,13.6,13.7
ENST00000428575.6,2.4,1.7,3,1.794,0.8,3.46,0.24,8.1e-01,1.0e+00,NA,NA,0,0,5.1,0,0,9.1
ENST00000396008.2,1.8,2.1,1.5,0.736,-0.4,1.84,-0.24,8.1e-01,1.0e+00,NA,NA,3.4,2.9,0,2.5,1,1.1
ENST00000403435.5,1.6,1.1,2.1,1.805,0.9,3.55,0.24,8.1e-01,1.0e+00,NA,NA,3.4,0,0,6.3,0,0
ENST00000496875.1,1.4,1.7,1.1,0.681,-0.6,2.32,-0.24,8.1e-01,1.0e+00,NA,NA,0.7,1,3.4,0,0,3.4
ENST00000416967.1,20.1,17.6,22.6,1.292,0.4,1.56,0.24,8.1e-01,1.0e+00,0.9363,2164,0,28,24.7,20.1,28.3,19.4
ENST00000447813.6,1.1,1.3,0.8,0.625,-0.7,2.86,-0.24,8.1e-01,1.0e+00,NA,NA,1.4,0,2.6,2.5,0,0
ENST00000436282.1,1.8,2.3,1.3,0.557,-0.8,3.57,-0.24,8.1e-01,1.0e+00,NA,NA,0,6.8,0,3.8,0,0
ENST00000433117.6,27.8,31.4,24.2,0.771,-0.4,1.6,-0.24,8.1e-01,1.0e+00,0.937,2168,43.1,0,51.1,34,14.7,24
ENST00000335727.13,289,273.4,304.7,1.114,0.2,0.67,0.23,8.2e-01,1.0e+00,0.937,2169,288,259.1,273.1,411.8,238.1,264.1
ENST00000617623.1,0.9,1.1,0.7,0.676,-0.6,2.43,-0.23,8.2e-01,1.0e+00,NA,NA,1.4,1.9,0,0,1,1.1
ENST00000466117.1,0.8,0.6,1,1.871,0.9,3.92,0.23,8.2e-01,1.0e+00,NA,NA,0,0,1.7,0,3.1,0
ENST00000569912.1,0.8,0.6,1,1.871,0.9,3.92,0.23,8.2e-01,1.0e+00,NA,NA,0,0,1.7,0,3.1,0
ENST00000484358.1,2.7,3.2,2.3,0.722,-0.5,2.04,-0.23,8.2e-01,1.0e+00,0.937,2173,2.7,0,6.8,3.8,3.1,0
ENST00000404034.5,35.9,31.3,40.5,1.294,0.4,1.62,0.23,8.2e-01,1.0e+00,0.937,2174,0,45.4,48.5,27.7,51.4,42.3
ENST00000399774.7,12.5,15.9,9.1,0.576,-0.8,3.47,-0.23,8.2e-01,1.0e+00,0.937,2175,0,0,47.6,0,0,27.4
ENST00000476187.1,1.1,1.4,0.8,0.551,-0.9,3.75,-0.23,8.2e-01,1.0e+00,NA,NA,4.1,0,0,0,0,2.3
ENST00000471384.5,6.6,5.2,8,1.532,0.6,2.69,0.23,8.2e-01,1.0e+00,0.937,2177,0,9.7,6,23.9,0,0
ENST00000493894.1,13.8,14.7,13,0.881,-0.2,0.8,-0.23,8.2e-01,1.0e+00,0.937,2177,14.4,14.5,15.3,12.6,12.6,13.7
ENST00000407472.5,81,96,66.1,0.689,-0.5,2.36,-0.23,8.2e-01,1.0e+00,0.937,2178,0,144.1,143.8,104.5,0,93.8
ENST00000463165.1,23.1,21.2,25,1.176,0.2,1.03,0.23,8.2e-01,1.0e+00,0.9374,2180,17.8,28,17.9,25.2,6.3,43.4
ENST00000618076.3,4.7,5.9,3.5,0.59,-0.8,3.38,-0.23,8.2e-01,1.0e+00,0.9374,2181,17.8,0,0,0,10.5,0
ENST00000405847.5,4.8,5.2,4.3,0.829,-0.3,1.21,-0.22,8.2e-01,1.0e+00,0.9374,2182,2.7,8.7,4.3,6.3,2.1,4.6
ENST00000448094.5,1.2,1,1.5,1.558,0.6,2.85,0.22,8.2e-01,1.0e+00,NA,NA,0,2.9,0,0,2.1,2.3
ENST00000497960.5,4.2,3.9,4.6,1.188,0.2,1.11,0.22,8.2e-01,1.0e+00,0.9374,2184,3.4,4.8,3.4,5,4.2,4.6
ENST00000468917.1,9.4,10.4,8.3,0.797,-0.3,1.48,-0.22,8.2e-01,1.0e+00,0.9377,2186,13.7,4.8,12.8,11.3,13.6,0
ENST00000424580.1,1.6,1.4,1.8,1.334,0.4,1.88,0.22,8.2e-01,1.0e+00,NA,NA,1.4,1.9,0.9,1.3,4.2,0
ENST00000439169.2,4.7,3.5,5.9,1.687,0.8,3.4,0.22,8.2e-01,1.0e+00,0.9377,2188,0,10.6,0,0,17.8,0
ENST00000412786.5,1,0.7,1.3,1.789,0.8,3.79,0.22,8.3e-01,1.0e+00,NA,NA,2.1,0,0,3.8,0,0
ENST00000377087.3,1.3,1,1.7,1.75,0.8,3.67,0.22,8.3e-01,1.0e+00,NA,NA,0,2.9,0,5,0,0
ENST00000457572.5,5.7,4.6,6.9,1.498,0.6,2.66,0.22,8.3e-01,1.0e+00,0.9392,2194,4.1,9.7,0,0,0,20.6
ENST00000404760.5,64.5,67.7,61.2,0.903,-0.1,0.68,-0.22,8.3e-01,1.0e+00,0.9392,2195,75.2,59,68.9,74.3,55.6,53.7
ENST00000358321.3,5.5,4.9,6.2,1.247,0.3,1.47,0.22,8.3e-01,1.0e+00,0.9392,2196,6.2,0,8.5,7.6,6.3,4.6
ENST00000492821.1,2.9,3.2,2.5,0.789,-0.3,1.59,-0.21,8.3e-01,1.0e+00,0.9392,2197,4.1,3.9,1.7,0,5.2,2.3
ENST00000451283.5,12.5,15,10.1,0.67,-0.6,2.7,-0.21,8.3e-01,1.0e+00,0.9392,2198,14.4,0,30.6,30.2,0,0
